msl_api_signature,namespace,guard,class,metal_builtins,clang_builtins,file,line
"float nextafter(float x, float y)",metal,__HAVE_NEXTAFTER__,builtin_direct,__metal_nextafter,,metal_math,4782
"float pow(float x, float y)",metal,,builtin_direct,__metal_pow,,metal_math,4787
"float powr(float x, float y)",metal,,builtin_direct,__metal_powr,,metal_math,4791
float rint(float x),metal,,builtin_direct,__metal_rint,,metal_math,4795
float round(float x),metal,,builtin_direct,__metal_round,,metal_math,4799
float rsqrt(float x),metal,,builtin_direct,__metal_rsqrt,,metal_math,4803
float sin(float x),metal,,builtin_direct,__metal_sin,,metal_math,4807
"float sincos(float x, thread float &cosval)",metal,,builtin_direct,__metal_sincos,,metal_math,4811
float sinh(float x),metal,,builtin_direct,__metal_sinh,,metal_math,4815
float sinpi(float x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_sinpi,,metal_math,4820
float sqrt(float x),metal,,builtin_direct,__metal_sqrt,,metal_math,4825
float tan(float x),metal,,builtin_direct,__metal_tan,,metal_math,4829
float tanh(float x),metal,,builtin_direct,__metal_tanh,,metal_math,4833
float tanpi(float x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_tanpi,,metal_math,4838
float trunc(float x),metal,,builtin_direct,__metal_trunc,,metal_math,4843
float2 abs(float2 x),metal,,builtin_direct,__metal_fabs,,metal_math,4847
float2 acos(float2 x),metal,,builtin_direct,__metal_acos,,metal_math,4851
float2 acosh(float2 x),metal,,builtin_direct,__metal_acosh,,metal_math,4855
float2 asin(float2 x),metal,,builtin_direct,__metal_asin,,metal_math,4859
float2 asinh(float2 x),metal,,builtin_direct,__metal_asinh,,metal_math,4863
float2 atan(float2 y_over_x),metal,,builtin_direct,__metal_atan,,metal_math,4867
"float2 atan2(float2 y, float2 x)",metal,,builtin_direct,__metal_atan2,,metal_math,4871
float2 atanh(float2 x),metal,,builtin_direct,__metal_atanh,,metal_math,4875
float2 ceil(float2 x),metal,,builtin_direct,__metal_ceil,,metal_math,4879
"float2 copysign(float2 x, float2 y)",metal,,header_composed,,,metal_math,4883
float2 cos(float2 x),metal,,builtin_direct,__metal_cos,,metal_math,4892
float2 cosh(float2 x),metal,,builtin_direct,__metal_cosh,,metal_math,4896
float2 cospi(float2 x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_cospi,,metal_math,4901
"float2 divide(float2 x, float2 y)",metal,__HAVE_DIVIDE__,builtin_direct,__metal_divide,,metal_math,4907
float2 exp(float2 x),metal,,builtin_direct,__metal_exp,,metal_math,4912
float2 exp10(float2 x),metal,,builtin_direct,__metal_exp10,,metal_math,4916
float2 exp2(float2 x),metal,,builtin_direct,__metal_exp2,,metal_math,4920
float2 fabs(float2 x),metal,,builtin_direct,__metal_fabs,,metal_math,4924
"float2 fdim(float2 x, float2 y)",metal,,builtin_direct,__metal_select,,metal_math,4928
float2 floor(float2 x),metal,,builtin_direct,__metal_floor,,metal_math,4934
"float2 fma(float2 x, float2 y, float2 z)",metal,__HAVE_FMA__,builtin_direct,__metal_fma,,metal_math,4939
"float2 fmax(float2 x, float2 y)",metal,,builtin_direct,__metal_fmax,,metal_math,4944
"float2 fmax3(float2 x, float2 y, float2 z)",metal,__HAVE_FMAX3__,builtin_direct,__metal_fmax3,,metal_math,4949
